"","Gene","noIR1","noIR2","IR1","IR2"
"1","ENSMUSG00000000001",2274.62615097977,2416.86036440205,2297.89612181017,2792.51707546219
"2","ENSMUSG00000000003",0,0,0,0
"3","ENSMUSG00000000028",1664.88343406791,1633.68898339806,2325.96959221677,2555.1115549879
"4","ENSMUSG00000000031",0,0,0,0
"5","ENSMUSG00000000037",0,0,9.08259336683863,1.84751377801005
"6","ENSMUSG00000000049",9.52722995174771,0,9.90828367291487,8.31381200104522
"7","ENSMUSG00000000056",883.6505780246,974.347751401637,578.808904559444,902.510480557909
"8","ENSMUSG00000000058",0,0,0,0
"9","ENSMUSG00000000078",774.087433579502,927.639888179485,4083.038563547,4755.50046459786
"10","ENSMUSG00000000085",1381.44834300342,1116.64379982261,1615.05023868512,1776.38449755666
"11","ENSMUSG00000000088",1087.29511824321,776.654004740436,1069.26894636873,910.824292558954
"12","ENSMUSG00000000093",0,4.3449175090374,4.1284515303812,15.7038671130854
"13","ENSMUSG00000000094",0,0,0,0
"14","ENSMUSG00000000103",0,0,0,0
"15","ENSMUSG00000000120",3.57271123190539,0,1.65138061215248,0.923756889005024
"16","ENSMUSG00000000125",0,2.1724587545187,6.60552244860992,0.923756889005024
"17","ENSMUSG00000000126",0,0,0,0
"18","ENSMUSG00000000127",0,0,0,0
"19","ENSMUSG00000000131",3835.90095932242,3503.08974166141,4395.9751895499,4573.52035746387
"20","ENSMUSG00000000134",322.734914615454,256.350133033207,805.87373873041,884.035342777808
"21","ENSMUSG00000000142",206.026347706544,195.521287906683,760.460771896217,734.386726758994
"22","ENSMUSG00000000148",271.52605362481,275.902261823875,175.046344888163,143.182317795779
"23","ENSMUSG00000000149",632.369888047254,619.15074503783,544.129911704242,588.4331382962
"24","ENSMUSG00000000154",0,0,0,0
"25","ENSMUSG00000000157",4.76361497587386,3.25868813177805,4.95414183645744,3.6950275560201
"26","ENSMUSG00000000159",4.76361497587386,24.9832756769651,5.77983214253368,23.0939222251256
"27","ENSMUSG00000000167",14.2908449276216,4.3449175090374,20.642257651906,5.54254133403014
"28","ENSMUSG00000000168",755.032973676006,660.427461373685,686.974334655431,862.788934330693
"29","ENSMUSG00000000171",1882.81881921414,1728.19093921963,1803.30762847051,2014.71377491996
"30","ENSMUSG00000000182",0,0,0,1.84751377801005
"31","ENSMUSG00000000183",0,0,0,0
"32","ENSMUSG00000000184",7888.54640004711,9912.92929686883,20033.7238963278,24498.0326964132
"33","ENSMUSG00000000194",914.61407536778,862.466125543924,749.726797917225,879.416558332783
"34","ENSMUSG00000000197",0,0,0,1.84751377801005
"35","ENSMUSG00000000202",0,0,0.825690306076239,0
"36","ENSMUSG00000000204",27.3907861112747,35.8455694495586,11.5596642850674,24.9414360031356
"37","ENSMUSG00000000214",0,0,0,0
"38","ENSMUSG00000000215",0,0,0,0
"39","ENSMUSG00000000216",0,0,0,0
"40","ENSMUSG00000000223",38.1089198069908,21.724587545187,30.5505413248209,26.7889497811457
"41","ENSMUSG00000000244",1152.79482416147,862.466125543924,561.469408131843,663.257446305607
"42","ENSMUSG00000000247",377.516486838003,405.163557717738,606.882374966036,674.342528973668
"43","ENSMUSG00000000248",25.0089786233377,9.77606439533415,123.02785560536,169.047510687919
"44","ENSMUSG00000000253",0,2.1724587545187,5.77983214253368,7.39005511204019
"45","ENSMUSG00000000263",1.19090374396846,1.08622937725935,0.825690306076239,0
"46","ENSMUSG00000000266",0,0,0,0
"47","ENSMUSG00000000275",2840.30542936479,2844.83473904224,2216.15278150863,2688.13254700462
"48","ENSMUSG00000000276",1223.05814505561,1167.6965805538,852.938086176755,941.30826989612
"49","ENSMUSG00000000278",819.341775850303,867.897272430221,809.176499954715,1009.66627968249
"50","ENSMUSG00000000282",1200.43097392021,1174.21395681736,2857.71414932986,3330.14358486311
"51","ENSMUSG00000000290",766.942011115691,761.446793458805,754.680939753683,784.269598765266
"52","ENSMUSG00000000295",488.27053502707,469.251090976039,412.84515303812,465.573472058532
"53","ENSMUSG00000000296",0,0,0,0
"54","ENSMUSG00000000301",63.1178984303286,48.8803219766708,80.9176499954715,84.9856337884622
"55","ENSMUSG00000000303",0,0,0,0
"56","ENSMUSG00000000305",0,0,0,0
"57","ENSMUSG00000000308",0,0,0,0
"58","ENSMUSG00000000317",2.38180748793693,3.25868813177805,7.43121275468616,12.9325964460703
"59","ENSMUSG00000000318",0,0,0,0.923756889005024
"60","ENSMUSG00000000320",9.52722995174771,9.77606439533415,2.47707091822872,10.1613257790553
"61","ENSMUSG00000000325",185.78098405908,157.503259702606,146.147184175494,215.235355138171
"62","ENSMUSG00000000326",702.633208941394,652.82385573287,631.653084148323,675.266285862673
"63","ENSMUSG00000000339",1098.01325193892,991.727421437787,907.433646377787,1126.98340458613
"64","ENSMUSG00000000340",795.523700970934,783.171381003992,791.011313221037,974.563517900301
"65","ENSMUSG00000000346",4053.83634446865,3937.58149256515,4258.91059874124,4990.13471440514
"66","ENSMUSG00000000355",706.205920173299,689.755654559688,603.579613741731,749.166836983075
"67","ENSMUSG00000000359",0,0,0,0
"68","ENSMUSG00000000365",2.38180748793693,1.08622937725935,0.825690306076239,0.923756889005024
"69","ENSMUSG00000000374",1624.39270677298,1688.00045226103,1799.17917694013,2217.01653361206
"70","ENSMUSG00000000378",1669.64704904379,1458.80605365931,1264.9575489088,1289.56461705101
"71","ENSMUSG00000000381",0,0,2.47707091822872,14.7801102240804
"72","ENSMUSG00000000384",2303.20784083501,2063.83581679277,3333.31176562978,3598.03308267457
"73","ENSMUSG00000000385",2.38180748793693,2.1724587545187,4.95414183645744,5.54254133403014
"74","ENSMUSG00000000392",0,0,0,0
"75","ENSMUSG00000000394",0,0,0,0
"76","ENSMUSG00000000399",1421.93907029835,1286.09558267507,1264.13185860272,1441.06074684784
"77","ENSMUSG00000000402",10.7181336957162,3.25868813177805,4.95414183645744,11.0850826680603
"78","ENSMUSG00000000409",252.471593721314,197.693746661202,211.376718355517,222.625410250211
"79","ENSMUSG00000000411",7.14542246381078,1.08622937725935,17.339496427601,17.5513808910955
"80","ENSMUSG00000000416",0,0,0,0
"81","ENSMUSG00000000420",2232.94451994087,2338.65184923938,2182.2994789595,2585.59553232506
"82","ENSMUSG00000000435",0,0,0,0
"83","ENSMUSG00000000439",292.962321016242,298.713078746321,284.037465290226,279.898337368522
"84","ENSMUSG00000000440",0,0,0,0
"85","ENSMUSG00000000441",894.368711720316,814.672032944513,1155.14073820066,1240.60550193375
"86","ENSMUSG00000000486",1592.23830568584,1333.88967527448,1340.92105706781,1423.50936595674
"87","ENSMUSG00000000489",0,0,0,0
"88","ENSMUSG00000000530",3.57271123190539,5.43114688629675,0,3.6950275560201
"89","ENSMUSG00000000531",115.517663164941,101.01933208512,151.101326011952,195.836460469065
"90","ENSMUSG00000000532",434.679866548489,442.095356544556,443.395694362941,483.124852949628
"91","ENSMUSG00000000538",342.980278262918,298.713078746321,410.368082119891,340.866292042854
"92","ENSMUSG00000000544",0,0,0,0
"93","ENSMUSG00000000552",458.497941427859,426.888145262925,355.046831612783,426.775682720321
"94","ENSMUSG00000000555",1.19090374396846,0,6.60552244860992,0
"95","ENSMUSG00000000560",5.95451871984232,0,3.30276122430496,3.6950275560201
"96","ENSMUSG00000000561",1181.37651401672,1087.31560663661,1543.21518205649,1710.7977584373
"97","ENSMUSG00000000562",0,11.9485231498529,0,0
"98","ENSMUSG00000000563",3040.37725835149,2867.64555596469,2861.84260086025,2956.02204481608
"99","ENSMUSG00000000567",0,0,0,0
"100","ENSMUSG00000000568",10252.4903318245,8712.64583499725,9862.87070608068,10577.9401359965
"101","ENSMUSG00000000579",89.3177807976348,78.2085151626732,53.6698698949556,116.393368014633
"102","ENSMUSG00000000581",452.543422708016,380.180282040773,422.753436711035,430.470710276341
"103","ENSMUSG00000000594",1158.74934288132,984.123815796971,793.488384139266,893.272911667858
"104","ENSMUSG00000000600",1675.60156776363,1723.84602171059,1802.48193816443,2002.70493536289
"105","ENSMUSG00000000605",1006.31366365335,966.744145760822,1212.11336931992,1329.28616327823
"106","ENSMUSG00000000606",0,0,0,0
"107","ENSMUSG00000000617",0,0,0,1.84751377801005
"108","ENSMUSG00000000627",0,0,0,0
"109","ENSMUSG00000000628",2862.93260050019,3083.8052020393,4890.56368288957,5312.52586866789
"110","ENSMUSG00000000631",1393.3573804431,1110.12642355906,1011.47062494339,1190.72262992748
"111","ENSMUSG00000000632",5.95451871984232,0,0,2.77127066701507
"112","ENSMUSG00000000673",254.853401209251,168.365553475199,120.550784687131,149.648616018814
